Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Amphisbaena leali,Amphisbaenia,Amphisbaenidae,2006,254,,,,Fossorial,0,0,1,1,1,0
Amphisbaena leeseri,Amphisbaenia,Amphisbaenidae,1964,156,,,,Fossorial,0,0,1,1,1,0
Amphisbaena leucocephala,Amphisbaenia,Amphisbaenidae,1878,364,,,,Fossorial,1,0,1,1,1,0
Amphisbaena littoralis,Amphisbaenia,Amphisbaenidae,2014,278,,,,Fossorial,1,0,1,1,1,0
Amphisbaena lumbricalis,Amphisbaenia,Amphisbaenidae,1996,201,,,,Fossorial,1,0,1,1,1,0
Amphisbaena manni,Amphisbaenia,Amphisbaenidae,1914,212,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Amphisbaena maranhensis,Amphisbaenia,Amphisbaenidae,2012,125,,,,*Fossorial (imputed),1,0,1,1,1,0
Amphisbaena medemi,Amphisbaenia,Amphisbaenidae,1977,184,,,,Fossorial,1,0,1,1,1,0
Amphisbaena mertensii,Amphisbaenia,Amphisbaenidae,1881,458,7,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Amphisbaena miringoera,Amphisbaenia,Amphisbaenidae,1971,142,,,,Fossorial,1,0,1,1,1,0
Amphisbaena mitchelli,Amphisbaenia,Amphisbaenidae,1923,165,,,,Fossorial,1,0,1,1,1,0
Amphisbaena munoai,Amphisbaenia,Amphisbaenidae,1960,172,1.8,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Amphisbaena myersi,Amphisbaenia,Amphisbaenidae,1989,188,,,,Fossorial,1,0,1,1,1,0
Amphisbaena neglecta,Amphisbaenia,Amphisbaenidae,1936,150,,,,Fossorial,1,0,1,1,1,0
Amphisbaena nigricauda,Amphisbaenia,Amphisbaenidae,1966,168,,,Oviparous,Fossorial,1,0,1,1,0,0
Amphisbaena occidentalis,Amphisbaenia,Amphisbaenidae,1876,262,,,,Fossorial,1,0,1,1,1,0
Amphisbaena pericensis,Amphisbaenia,Amphisbaenidae,1921,153,,,,Fossorial&Terrestrial,1,0,1,1,1,0
Amphisbaena persephone,Amphisbaenia,Amphisbaenidae,2014,161,,,,Fossorial,1,0,1,1,1,0
