Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Ptyodactylus puiseuxi,Sauria,Phyllodactylidae,1893,90,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Ptyodactylus ragazzii,Sauria,Phyllodactylidae,1898,100,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Pygopus lepidopodus,Sauria,Pygopodidae,1804,274,2,Carnivorous,Oviparous,Fossorial&Terrestrial,0,0,0,0,0,0
Pygopus nigriceps,Sauria,Pygopodidae,1882,227,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Pygopus robertsi,Sauria,Pygopodidae,2010,224,,Carnivorous,,Terrestrial,1,0,1,0,1,0
Pygopus schraderi,Sauria,Pygopodidae,1913,198,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Pygopus steelescotti,Sauria,Pygopodidae,2001,185,2,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Quedenfeldtia moerens,Sauria,Sphaerodactylidae,1916,511,1,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Quedenfeldtia trachyblepharus,Sauria,Sphaerodactylidae,1874,463,1,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Ramigekko swartbergensis,Sauria,Gekkonidae,1996,77,,,Oviparous,Saxicolous,0,0,1,1,0,0
Rhacodactylus auriculatus,Sauria,Diplodactylidae,1869,125,2,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Rhacodactylus leachianus,Sauria,Diplodactylidae,1829,280,2,Omnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Rhacodactylus trachycephalus,Sauria,Diplodactylidae,1878,140,2,,Viviparous,Arboreal,0,0,0,1,0,0
Rhacodactylus trachyrhynchus,Sauria,Diplodactylidae,1873,190,2,Omnivorous,Viviparous,Arboreal,0,0,0,0,0,0
Rhinogekko femoralis,Sauria,Gekkonidae,1933,62,,Carnivorous,Oviparous,Terrestrial,,0,1,0,0,0
Rhinogekko misonnei,Sauria,Gekkonidae,1973,81,,Carnivorous,Oviparous,Terrestrial,,0,1,0,0,0
Rhoptropella ocellata,Sauria,Gekkonidae,1885,46,2,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Rhoptropus afer,Sauria,Gekkonidae,1869,55,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Rhoptropus barnardi,Sauria,Gekkonidae,1926,49,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Rhoptropus biporosus,Sauria,Gekkonidae,1957,55,,,,Saxicolous,0,0,1,1,1,0
Rhoptropus boultoni,Sauria,Gekkonidae,1933,74,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Rhoptropus bradfieldi,Sauria,Gekkonidae,1935,70,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Rhoptropus diporus,Sauria,Gekkonidae,1965,58,,Carnivorous,,Saxicolous,0,0,1,0,1,0
Rhoptropus taeniostictus,Sauria,Gekkonidae,1964,65,,Carnivorous,,,1,0,1,0,1,1
Rhynchoedura angusta,Sauria,Diplodactylidae,2011,53,2,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Rhynchoedura eyrensis,Sauria,Diplodactylidae,2011,522,,,,Terrestrial,1,0,1,1,1,0
Rhynchoedura mentalis,Sauria,Diplodactylidae,2011,504,,,,Terrestrial,1,0,1,1,1,0
Rhynchoedura ormsbyi,Sauria,Diplodactylidae,1985,53,2,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Rhynchoedura ornata,Sauria,Diplodactylidae,1867,65,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Rhynchoedura sexapora,Sauria,Diplodactylidae,2011,53,2,,Oviparous,Terrestrial,1,0,0,1,0,0
Saltuarius cornutus,Sauria,Carphodactylidae,1892,160,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Saltuarius eximius,Sauria,Carphodactylidae,2013,120,,Carnivorous,,Arboreal&Saxicolous,1,0,1,0,1,0
Saltuarius kateae,Sauria,Carphodactylidae,2008,110,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Saltuarius moritzi,Sauria,Carphodactylidae,2008,1124,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Saltuarius salebrosus,Sauria,Carphodactylidae,1975,144,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Saltuarius swaini,Sauria,Carphodactylidae,1985,135,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Saltuarius wyberba,Sauria,Carphodactylidae,1997,109,2,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Saurodactylus fasciatus,Sauria,Sphaerodactylidae,1931,38,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Saurodactylus mauritanicus,Sauria,Sphaerodactylidae,1836,34,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus alphus,Sauria,Sphaerodactylidae,2013,412,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus altavelensis,Sauria,Sphaerodactylidae,1933,29,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus argivus,Sauria,Sphaerodactylidae,1888,29,1,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Sphaerodactylus argus,Sauria,Sphaerodactylidae,1850,33,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Sphaerodactylus ariasae,Sauria,Sphaerodactylidae,2001,1.79e+16,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus armasi,Sauria,Sphaerodactylidae,1974,32,1,,Oviparous,Arboreal,1,0,0,1,0,0
Sphaerodactylus armstrongi,Sauria,Sphaerodactylidae,1933,31,,,,,0,0,1,1,1,1
Sphaerodactylus asterulus,Sauria,Sphaerodactylidae,1980,31,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Sphaerodactylus beattyi,Sauria,Sphaerodactylidae,1937,30,,Carnivorous,,,1,0,1,0,1,1
Sphaerodactylus becki,Sauria,Sphaerodactylidae,1919,31,,,,Saxicolous&Terrestrial,0,0,1,1,1,0
Sphaerodactylus bromeliarum,Sauria,Sphaerodactylidae,1977,281,,Carnivorous,,Arboreal,1,0,1,0,1,0
Sphaerodactylus caicosensis,Sauria,Sphaerodactylidae,1934,32,1,,Oviparous,,1,0,0,1,0,1
Sphaerodactylus callocricus,Sauria,Sphaerodactylidae,1976,28,1,,Oviparous,Saxicolous&Terrestrial,1,0,0,1,0,0
Sphaerodactylus celicara,Sauria,Sphaerodactylidae,1982,32,,,,Arboreal&Saxicolous,1,0,1,1,1,0
Sphaerodactylus cinereus,Sauria,Sphaerodactylidae,1830,37,,Carnivorous,Oviparous,Arboreal,0,0,1,0,0,0
Sphaerodactylus clenchi,Sauria,Sphaerodactylidae,1968,34,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Sphaerodactylus cochranae,Sauria,Sphaerodactylidae,1946,30,,,,Saxicolous&Terrestrial,1,0,1,1,1,0
Sphaerodactylus continentalis,Sauria,Sphaerodactylidae,1896,31,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus copei,Sauria,Sphaerodactylidae,1867,41,1,,Oviparous,Saxicolous,0,0,0,1,0,0
Sphaerodactylus corticola,Sauria,Sphaerodactylidae,1888,39,1,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Sphaerodactylus cricoderus,Sauria,Sphaerodactylidae,1992,25,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus cryphius,Sauria,Sphaerodactylidae,1977,22,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus darlingtoni,Sauria,Sphaerodactylidae,1968,29,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus difficilis,Sauria,Sphaerodactylidae,1914,34,1,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Sphaerodactylus dimorphicus,Sauria,Sphaerodactylidae,2004,334,1,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Sphaerodactylus docimus,Sauria,Sphaerodactylidae,1985,30,,,,,1,0,1,1,1,1
Sphaerodactylus dunni,Sauria,Sphaerodactylidae,1936,317,,Carnivorous,,Terrestrial,0,0,1,0,1,0
Sphaerodactylus elasmorhynchus,Sauria,Sphaerodactylidae,1966,17,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus elegans,Sauria,Sphaerodactylidae,1834,3.97e+16,1,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Sphaerodactylus elegantulus,Sauria,Sphaerodactylidae,1917,29,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Sphaerodactylus epiurus,Sauria,Sphaerodactylidae,1993,25,1,,Oviparous,,1,0,0,1,0,1
Sphaerodactylus fantasticus,Sauria,Sphaerodactylidae,1836,29,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus gaigeae,Sauria,Sphaerodactylidae,1932,25,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus gilvitorques,Sauria,Sphaerodactylidae,1862,27,,,,,1,0,1,1,1,1
Sphaerodactylus glaucus,Sauria,Sphaerodactylidae,1866,31,1,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Sphaerodactylus goniorhynchus,Sauria,Sphaerodactylidae,1895,32,1,,Oviparous,Arboreal&Terrestrial,0,0,0,1,0,0
Sphaerodactylus graptolaemus,Sauria,Sphaerodactylidae,1984,32,,Carnivorous,,Arboreal&Terrestrial,1,0,1,0,1,0
Sphaerodactylus guanajae,Sauria,Sphaerodactylidae,2012,296,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus heliconiae,Sauria,Sphaerodactylidae,1982,312,,,,,1,0,1,1,1,1
Sphaerodactylus homolepis,Sauria,Sphaerodactylidae,1886,35,,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,1,0,0,0
Sphaerodactylus inaguae,Sauria,Sphaerodactylidae,1932,29,1,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Sphaerodactylus intermedius,Sauria,Sphaerodactylidae,1919,36,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus kirbyi,Sauria,Sphaerodactylidae,1994,29,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus klauberi,Sauria,Sphaerodactylidae,1931,37,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus ladae,Sauria,Sphaerodactylidae,1988,289,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus lazelli,Sauria,Sphaerodactylidae,1968,31,,,,,1,0,1,1,1,1
Sphaerodactylus leonardovaldesi,Sauria,Sphaerodactylidae,2012,291,,Carnivorous,,Terrestrial,0,0,1,0,1,0
Sphaerodactylus leucaster,Sauria,Sphaerodactylidae,1973,31,1,,Oviparous,Terrestrial,0,0,0,1,0,0
Sphaerodactylus levinsi,Sauria,Sphaerodactylidae,1968,297,,,Oviparous,Terrestrial,0,0,1,1,0,0
Sphaerodactylus lineolatus,Sauria,Sphaerodactylidae,1856,32,,Carnivorous,,Arboreal&Terrestrial,1,0,1,0,1,0
Sphaerodactylus macrolepis,Sauria,Sphaerodactylidae,1859,275,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus mariguanae,Sauria,Sphaerodactylidae,1934,41,,,Oviparous,Terrestrial,1,0,1,1,0,0
Sphaerodactylus microlepis,Sauria,Sphaerodactylidae,1862,34,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Sphaerodactylus micropithecus,Sauria,Sphaerodactylidae,1977,36,,,Oviparous,,1,0,1,1,0,1
Sphaerodactylus millepunctatus,Sauria,Sphaerodactylidae,1861,354,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Sphaerodactylus molei,Sauria,Sphaerodactylidae,1894,28,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Sphaerodactylus monensis,Sauria,Sphaerodactylidae,1901,30,,Carnivorous,,Terrestrial,0,0,1,0,1,0
Sphaerodactylus nicholsi,Sauria,Sphaerodactylidae,1931,25,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus nigropunctatus,Sauria,Sphaerodactylidae,1845,40,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus notatus,Sauria,Sphaerodactylidae,1859,34,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus nycteropus,Sauria,Sphaerodactylidae,1977,21,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus ocoae,Sauria,Sphaerodactylidae,1977,37,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus oliveri,Sauria,Sphaerodactylidae,1944,34,1,,Oviparous,,0,0,0,1,0,1
Sphaerodactylus omoglaux,Sauria,Sphaerodactylidae,1982,20,,,Oviparous,Terrestrial,1,0,1,1,0,0
Sphaerodactylus oxyrhinus,Sauria,Sphaerodactylidae,1850,34,1,,Oviparous,Arboreal&Terrestrial,1,0,0,1,0,0
Sphaerodactylus pacificus,Sauria,Sphaerodactylidae,1903,49,1,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Sphaerodactylus parkeri,Sauria,Sphaerodactylidae,1939,35,1,,Oviparous,Saxicolous&Terrestrial,1,0,0,1,0,0
Sphaerodactylus parthenopion,Sauria,Sphaerodactylidae,1965,18,,,,,1,0,1,1,1,1
Sphaerodactylus parvus,Sauria,Sphaerodactylidae,1962,24,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Sphaerodactylus perissodactylius,Sauria,Sphaerodactylidae,1988,23,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus phyzacinus,Sauria,Sphaerodactylidae,1964,25,,,Oviparous,Terrestrial,1,0,1,1,0,0
Sphaerodactylus pimienta,Sauria,Sphaerodactylidae,1998,38,1,,Oviparous,Saxicolous&Terrestrial,1,0,0,1,0,0
Sphaerodactylus plummeri,Sauria,Sphaerodactylidae,1992,22,,,Oviparous,Terrestrial,1,0,1,1,0,0
Sphaerodactylus poindexteri,Sauria,Sphaerodactylidae,2013,296,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus ramsdeni,Sauria,Sphaerodactylidae,1959,33,,,,,0,0,1,1,1,1
Sphaerodactylus randi,Sauria,Sphaerodactylidae,1968,32,,,Oviparous,,1,0,1,1,0,1
Sphaerodactylus rhabdotus,Sauria,Sphaerodactylidae,1970,32,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus richardi,Sauria,Sphaerodactylidae,1993,321,,,,Arboreal&Saxicolous,0,0,1,1,1,0
Sphaerodactylus richardsonii,Sauria,Sphaerodactylidae,1845,40,,,Oviparous,Terrestrial,0,0,1,1,0,0
Sphaerodactylus roosevelti,Sauria,Sphaerodactylidae,1931,39,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Sphaerodactylus rosaurae,Sauria,Sphaerodactylidae,1940,39,,Carnivorous,,Arboreal&Saxicolous&Terrestrial,0,0,1,0,1,0
Sphaerodactylus ruibali,Sauria,Sphaerodactylidae,1959,32,1,,Oviparous,Terrestrial,1,0,0,1,0,0
Sphaerodactylus sabanus,Sauria,Sphaerodactylidae,1938,30,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus samanensis,Sauria,Sphaerodactylidae,1932,297,,,,,1,0,1,1,1,1
Sphaerodactylus savagei,Sauria,Sphaerodactylidae,1968,33,1,,Oviparous,Arboreal,1,0,0,1,0,0
Sphaerodactylus scaber,Sauria,Sphaerodactylidae,1919,34,1,Carnivorous,Oviparous,Cryptic,1,0,0,0,0,0
Sphaerodactylus scapularis,Sauria,Sphaerodactylidae,1902,331,,,,Arboreal,1,0,1,1,1,0
Sphaerodactylus schuberti,Sauria,Sphaerodactylidae,1998,33,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Sphaerodactylus schwartzi,Sauria,Sphaerodactylidae,1992,20,,,,Terrestrial,0,0,1,1,1,0
Sphaerodactylus semasiops,Sauria,Sphaerodactylidae,1975,32,,,,Arboreal&Saxicolous&Terrestrial,0,0,1,1,1,0
Sphaerodactylus shrevei,Sauria,Sphaerodactylidae,1961,30,,,,Saxicolous,0,0,1,1,1,0
Sphaerodactylus siboney,Sauria,Sphaerodactylidae,2004,3.22e+16,1,Carnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Sphaerodactylus sommeri,Sauria,Sphaerodactylidae,1981,35,,,,Terrestrial,1,0,1,1,1,0
Sphaerodactylus sputator,Sauria,Sphaerodactylidae,1784,40,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus storeyae,Sauria,Sphaerodactylidae,1944,32,,,,,1,0,1,1,1,1
Sphaerodactylus streptophorus,Sauria,Sphaerodactylidae,1977,26,1,,Oviparous,Terrestrial,1,0,0,1,0,0
Sphaerodactylus thompsoni,Sauria,Sphaerodactylidae,1976,33,,,,,0,0,1,1,1,1
Sphaerodactylus torrei,Sauria,Sphaerodactylidae,1914,39,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Sphaerodactylus townsendi,Sauria,Sphaerodactylidae,1931,30,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Sphaerodactylus underwoodi,Sauria,Sphaerodactylidae,1968,32,,,,,1,0,1,1,1,1
Sphaerodactylus vincenti,Sauria,Sphaerodactylidae,1891,40,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Sphaerodactylus williamsi,Sauria,Sphaerodactylidae,1983,22,,,,,1,0,1,1,1,1
Sphaerodactylus zygaena,Sauria,Sphaerodactylidae,1977,32,1,,Oviparous,,1,0,0,1,0,1
Stenodactylus affinis,Sauria,Gekkonidae,1884,6.81e+16,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Stenodactylus doriae,Sauria,Gekkonidae,1874,83,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus grandiceps,Sauria,Gekkonidae,1952,61,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus leptocosymbotes,Sauria,Gekkonidae,1967,80,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus mauritanicus,Sauria,Gekkonidae,1850,29,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus petrii,Sauria,Gekkonidae,1896,71,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus slevini,Sauria,Gekkonidae,1957,88,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus stenurus,Sauria,Gekkonidae,1899,563,,,,Terrestrial,0,0,1,1,1,0
Stenodactylus sthenodactylus,Sauria,Gekkonidae,1823,60,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Stenodactylus yemenensis,Sauria,Gekkonidae,1980,60,,Carnivorous,,Terrestrial,0,0,1,0,1,0
Strophurus assimilis,Sauria,Diplodactylidae,1988,82,2,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus ciliaris,Sauria,Diplodactylidae,1885,94,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus elderi,Sauria,Diplodactylidae,1893,52,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus horneri,Sauria,Diplodactylidae,2014,45,,,,Arboreal,0,0,1,1,1,0
Strophurus intermedius,Sauria,Diplodactylidae,1892,7.99e+16,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus jeanae,Sauria,Diplodactylidae,1988,50,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus krisalys,Sauria,Diplodactylidae,2005,76,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus mcmillani,Sauria,Diplodactylidae,1978,54,2,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Strophurus michaelseni,Sauria,Diplodactylidae,1910,66,2,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Strophurus rankini,Sauria,Diplodactylidae,1979,63,2,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Strophurus robinsoni,Sauria,Diplodactylidae,1995,58,,Carnivorous,Oviparous,Arboreal,0,0,1,0,0,0
Strophurus spinigerus,Sauria,Diplodactylidae,1842,7.94e+16,2,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus strophurus,Sauria,Diplodactylidae,1836,88,2,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Strophurus taeniatus,Sauria,Diplodactylidae,1913,50,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus taenicauda,Sauria,Diplodactylidae,1886,732,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Strophurus wellingtonae,Sauria,Diplodactylidae,1988,89,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Strophurus williamsi,Sauria,Diplodactylidae,1963,70,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Strophurus wilsoni,Sauria,Diplodactylidae,1983,60,2,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,1,0,0,0,0,0
Tarentola albertschwartzi,Sauria,Phyllodactylidae,1998,137,,,,,1,0,1,1,1,1
Tarentola americana,Sauria,Phyllodactylidae,1831,120,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Tarentola angustimentalis,Sauria,Phyllodactylidae,1891,80,1.92,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Tarentola annularis,Sauria,Phyllodactylidae,1827,140,2,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Tarentola boavistensis,Sauria,Phyllodactylidae,1993,79,,,,,0,0,1,1,1,1
Tarentola bocagei,Sauria,Phyllodactylidae,2012,655,,,,,0,0,1,1,1,1
Tarentola boehmei,Sauria,Phyllodactylidae,1984,815,,,Oviparous,Saxicolous,0,0,1,1,0,0
Tarentola boettgeri,Sauria,Phyllodactylidae,1891,745,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Tarentola caboverdiana,Sauria,Phyllodactylidae,1984,73,,,,,0,0,1,1,1,1
Tarentola chazaliae,Sauria,Phyllodactylidae,1895,74,1.5,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Tarentola crombiei,Sauria,Phyllodactylidae,2008,578,1,Carnivorous,Oviparous,Arboreal,1,0,0,0,0,0
Tarentola darwini,Sauria,Phyllodactylidae,1984,80,1,,Oviparous,,0,0,0,1,0,1
Tarentola delalandii,Sauria,Phyllodactylidae,1836,84,,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,1,0,0,0
Tarentola deserti,Sauria,Phyllodactylidae,1891,1033,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Tarentola ephippiata,Sauria,Phyllodactylidae,1875,130,2,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Tarentola fascicularis,Sauria,Phyllodactylidae,1802,86,2,Carnivorous,,Saxicolous,0,0,0,0,1,0
Tarentola fogoensis,Sauria,Phyllodactylidae,2012,695,,,,,0,0,1,1,1,1
Tarentola gigas,Sauria,Phyllodactylidae,1875,155,2,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Tarentola gomerensis,Sauria,Phyllodactylidae,1983,76,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Tarentola maioensis,Sauria,Phyllodactylidae,1984,71,,,,,0,0,1,1,1,1
Tarentola mauritanica,Sauria,Phyllodactylidae,1758,86,2,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Tarentola mindiae,Sauria,Phyllodactylidae,1997,81,,,Oviparous,Arboreal&Terrestrial,0,0,1,1,0,0
Tarentola neglecta,Sauria,Phyllodactylidae,1887,732,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Tarentola nicolauensis,Sauria,Phyllodactylidae,1984,71,,,,,0,0,1,1,1,1
Tarentola parvicarinata,Sauria,Phyllodactylidae,1980,97,,Carnivorous,,Saxicolous,1,0,1,0,1,0
Tarentola pastoria,Sauria,Phyllodactylidae,2012,110,,Carnivorous,,,1,0,1,0,1,1
Tarentola protogigas,Sauria,Phyllodactylidae,1984,985,,,,,0,0,1,1,1,1
Tarentola raziana,Sauria,Phyllodactylidae,1984,7.01e+16,,Carnivorous,,,0,0,1,0,1,1
Tarentola rudis,Sauria,Phyllodactylidae,1906,83,,,,,0,0,1,1,1,1
Tarentola substituta,Sauria,Phyllodactylidae,1984,655,,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,1,0,0,0
Tenuidactylus bogdanovi,Sauria,Gekkonidae,2013,72,,,Oviparous,Saxicolous&Terrestrial,1,0,1,1,0,0
Tenuidactylus caspius,Sauria,Gekkonidae,1831,80,,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,1,0,0,0
Tenuidactylus dadunensis,Sauria,Gekkonidae,2011,539,,,Oviparous,Arboreal&Saxicolous&Terrestrial,1,0,1,1,0,0
Tenuidactylus elongatus,Sauria,Gekkonidae,1875,568,2,,Oviparous,Terrestrial,0,0,0,1,0,0
Tenuidactylus fedtschenkoi,Sauria,Gekkonidae,1887,77,1.78,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Tenuidactylus longipes,Sauria,Gekkonidae,1896,688,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Tenuidactylus turcmenicus,Sauria,Gekkonidae,1978,80,2,Carnivorous,Oviparous,Saxicolous,1,0,0,0,0,0
Tenuidactylus voraginosus,Sauria,Gekkonidae,1984,645,,Carnivorous,,Saxicolous,1,0,1,0,1,0
Teratoscincus bedriagai,Sauria,Sphaerodactylidae,1900,7.34e+16,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Teratoscincus microlepis,Sauria,Sphaerodactylidae,1900,908,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Teratoscincus przewalskii,Sauria,Sphaerodactylidae,1887,97,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Teratoscincus roborowskii,Sauria,Sphaerodactylidae,1906,95,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Teratoscincus scincus,Sauria,Sphaerodactylidae,1858,120,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Thecadactylus oskrobapreinorum,Sauria,Phyllodactylidae,2011,99,1,Carnivorous,Oviparous,Arboreal,1,0,0,0,0,0
Thecadactylus rapicauda,Sauria,Phyllodactylidae,1782,126,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Thecadactylus solimoensis,Sauria,Phyllodactylidae,2007,126,1,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Toropuku stephensi,Sauria,Diplodactylidae,1980,85,2,Omnivorous,Viviparous,Arboreal,0,0,0,0,0,0
